Model,Corruption,Method,Accuracy,Balanced_Acc,MCC,F1_macro
ResNet18,Thinning (threshold=0.3),TTT_lr=0.0001_steps=3,0.4987012987012987,0.49870129870129876,0.4844504328679488,0.4959169728756237
ResNet18,Gaussian Blur (σ=2),TTT_lr=0.0001_steps=5,0.44415584415584414,0.4441558441558441,0.42831144095471985,0.4416262156008696
ResNet18,Salt-Pepper Noise (5%),TTT_lr=0.0001_steps=5,0.4581818181818182,0.45818181818181813,0.44281738603346804,0.45492763577669393
ResNet18,Thinning (threshold=0.3),TTT_lr=0.0001_steps=5,0.44727272727272727,0.44727272727272727,0.4316480744727199,0.4447830333496053
ResNet18,Gaussian Blur (σ=2),TTT_lr=0.001_steps=1,0.26857142857142857,0.26857142857142857,0.24882110286143125,0.2510246917628723
ResNet18,Salt-Pepper Noise (5%),TTT_lr=0.001_steps=1,0.2503896103896104,0.2503896103896104,0.22993959779229703,0.23437534816807645
ResNet18,Thinning (threshold=0.3),TTT_lr=0.001_steps=1,0.2607792207792208,0.2607792207792208,0.24040140113492398,0.2513888380065237
ResNet18,Gaussian Blur (σ=2),TTT_lr=0.001_steps=3,0.12571428571428572,0.1257142857142857,0.10125193114198758,0.12714038564600405
ResNet18,Salt-Pepper Noise (5%),TTT_lr=0.001_steps=3,0.15636363636363637,0.15636363636363637,0.13392503656064716,0.14224335442708766
ResNet18,Thinning (threshold=0.3),TTT_lr=0.001_steps=3,0.12467532467532468,0.12467532467532466,0.10093268355313936,0.1136733187388052
ResNet18,Gaussian Blur (σ=2),TTT_lr=0.001_steps=5,0.099220779,0.099220779,0.074548847,0.093657889
ResNet18,Salt-Pepper Noise (5%),TTT_lr=0.001_steps=5,0.09038961,0.09038961,0.066252995,0.087048133
ResNet18,Thinning (threshold=0.3),TTT_lr=0.001_steps=5,0.11116883116883117,0.11116883116883118,0.086785526,0.099726456
